disease,diseaseLabel,type,typeLabel,disease_local_name
http://www.wikidata.org/entity/Q1010522,gymnophobia,http://www.wikidata.org/entity/Q175854,phobia,gymnophobia
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q18123741,infectious disease,gonorrhea
http://www.wikidata.org/entity/Q1022718,CADASIL,http://www.wikidata.org/entity/Q929833,rare disease,cadasil
http://www.wikidata.org/entity/Q1022718,CADASIL,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,cadasil
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q18123741,infectious disease,severe_acute_respiratory_syndrome
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q182672,zoonosis,severe_acute_respiratory_syndrome
http://www.wikidata.org/entity/Q10355322,psoriatic erythroderma,http://www.wikidata.org/entity/Q12136,disease,psoriatic_erythroderma
http://www.wikidata.org/entity/Q1036696,hypothermia,http://www.wikidata.org/entity/Q12136,disease,hypothermia
http://www.wikidata.org/entity/Q1046055,depressive syndrome,http://www.wikidata.org/entity/Q56815734,psychopathological syndrome,depressive_syndrome
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q18123741,infectious disease,opisthorchiasis
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q18123741,infectious disease,rickettsialpox
http://www.wikidata.org/entity/Q1052687,Charcot-Marie-Tooth disease,http://www.wikidata.org/entity/Q929833,rare disease,charcot_marie_tooth_disease
http://www.wikidata.org/entity/Q1052687,Charcot-Marie-Tooth disease,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,charcot_marie_tooth_disease
http://www.wikidata.org/entity/Q106590153,New Brunswick suspected neurological disease,http://www.wikidata.org/entity/Q179630,syndrome,new_brunswick_suspected_neurological_disease
http://www.wikidata.org/entity/Q1066011,cowpox,http://www.wikidata.org/entity/Q18123741,infectious disease,cowpox
http://www.wikidata.org/entity/Q107008921,massive perivillous fibrin deposition,http://www.wikidata.org/entity/Q12136,disease,massive_perivillous_fibrin_deposition
http://www.wikidata.org/entity/Q10701324,trance disorder,http://www.wikidata.org/entity/Q2627467,dissociative disorder,trance_disorder
http://www.wikidata.org/entity/Q1076060,chondrodysplasia punctata,http://www.wikidata.org/entity/Q55788864,developmental defect during embryogenesis,chondrodysplasia_punctata
http://www.wikidata.org/entity/Q1077505,Crimean-Congo hemorrhagic fever,http://www.wikidata.org/entity/Q18123741,infectious disease,crimean_congo_hemorrhagic_fever
http://www.wikidata.org/entity/Q1077603,mesothelioma,http://www.wikidata.org/entity/Q314676,notifiable disease,mesothelioma
http://www.wikidata.org/entity/Q1087632,idiopathic CD4+ lymphocytopenia,http://www.wikidata.org/entity/Q929833,rare disease,idiopathic_cd4+_lymphocytopenia
http://www.wikidata.org/entity/Q109466005,purulent meningitis,http://www.wikidata.org/entity/Q12136,disease,purulent_meningitis
http://www.wikidata.org/entity/Q1097490,cardiofaciocutaneous syndrome,http://www.wikidata.org/entity/Q929833,rare disease,cardiofaciocutaneous_syndrome
http://www.wikidata.org/entity/Q1097490,cardiofaciocutaneous syndrome,http://www.wikidata.org/entity/Q42303753,designated intractable/rare disease,cardiofaciocutaneous_syndrome
http://www.wikidata.org/entity/Q1102300,clonorchiasis,http://www.wikidata.org/entity/Q18123741,infectious disease,clonorchiasis
http://www.wikidata.org/entity/Q110391577,Flurona,http://www.wikidata.org/entity/Q18123741,infectious disease,flurona
http://www.wikidata.org/entity/Q110624138,Jamestown Canyon encephalitis,http://www.wikidata.org/entity/Q18123741,infectious disease,jamestown_canyon_encephalitis
