disease,diseaseLabel,drug,drugLabel,drugs_local_name
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q1052672,cefpodoxime proxetil,cefpodoxime_proxetil
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q1082945,ceftizoxime,ceftizoxime
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q1087499,troleandomycin,troleandomycin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q163901,cefixime,cefixime
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q1639616,enoxacin,enoxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q193045,tetracycline,tetracycline
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q201928,amoxicillin,amoxicillin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q213511,erythromycin,erythromycin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q2365016,gatifloxacin,gatifloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q244150,ampicillin,ampicillin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q256602,ciprofloxacin,ciprofloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q258450,benzylpenicillin,benzylpenicillin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q27089370,penicillin g potassium,penicillin_g_potassium
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q27122736,penicillin g sodium,penicillin_g_sodium
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q2736402,demeclocycline,demeclocycline
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q2878140,bacampicillin,bacampicillin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q411447,DL-ofloxacin,dl_ofloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q413728,cefuroxime,cefuroxime
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q415173,cefpodoxime,cefpodoxime
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q416154,spectinomycin,spectinomycin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q417897,norfloxacin,norfloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q417968,cefotaxime,cefotaxime
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q421713,ceftriaxone,ceftriaxone
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q424940,moxifloxacin,moxifloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q544393,trovafloxacin,trovafloxacin
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q900898,probenecid,probenecid
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q411629,albendazol,albendazol
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q424145,praziquantel,praziquantel
