disease,diseaseLabel,symptom,symptomLabel,symptom_local_name
http://www.wikidata.org/entity/Q1010522,gymnophobia,http://www.wikidata.org/entity/Q11460,clothing,clothing
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q1269399,dysuria,dysuria
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q185557,excretion,excretion
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q424318,testicular pain,testicular_pain
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q7161805,pelvic pain,pelvic_pain
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q778502,vaginal discharge,vaginal_discharge
http://www.wikidata.org/entity/Q101896,gonorrhea,http://www.wikidata.org/entity/Q81938,pain,pain
http://www.wikidata.org/entity/Q1022718,CADASIL,http://www.wikidata.org/entity/Q86,headache,headache
http://www.wikidata.org/entity/Q1022718,CADASIL,http://www.wikidata.org/entity/Q83030,dementia,dementia
http://www.wikidata.org/entity/Q1022718,CADASIL,http://www.wikidata.org/entity/Q12202,stroke,stroke
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q86,headache,headache
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q105688,hypoxia,hypoxia
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q188008,dyspnea,dyspnea
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q192120,cyanosis,cyanosis
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q2633267,atypical pneumonia,atypical_pneumonia
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q327988,occupational burnout,occupational_burnout
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q474959,myalgia,myalgia
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q35805,cough,cough
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q38933,fever,fever
http://www.wikidata.org/entity/Q103177,severe acute respiratory syndrome,http://www.wikidata.org/entity/Q40878,diarrhea,diarrhea
http://www.wikidata.org/entity/Q10355322,psoriatic erythroderma,http://www.wikidata.org/entity/Q1363741,erythroderma,erythroderma
http://www.wikidata.org/entity/Q1036696,hypothermia,http://www.wikidata.org/entity/Q130741,hallucination,hallucination
http://www.wikidata.org/entity/Q1046055,depressive syndrome,http://www.wikidata.org/entity/Q1997867,hypothymia,hypothymia
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q102186748,right upper quadrant abdominal rigidity,right_upper_quadrant_abdominal_rigidity
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q127076,vomiting,vomiting
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q131742,hepatitis,hepatitis
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q133244,jaundice,jaundice
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q1527888,pancreatitis,pancreatitis
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q178436,constipation,constipation
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q183425,abdominal pain,abdominal_pain
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q186889,nausea,nausea
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q2028354,biliary dyskinesia,biliary_dyskinesia
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q376666,cholecystitis,cholecystitis
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q474959,myalgia,myalgia
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q505142,eosinophilia,eosinophilia
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q653971,indigestion,indigestion
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q683498,arthralgia,arthralgia
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q38933,fever,fever
http://www.wikidata.org/entity/Q1048084,opisthorchiasis,http://www.wikidata.org/entity/Q40878,diarrhea,diarrhea
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q86,headache,headache
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q1515219,macula,macula
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q189206,vesicle,vesicle
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q189956,aphthous stomatitis,aphthous_stomatitis
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q2260058,chills,chills
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q24084959,primary affect,primary_affect
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q653197,rash,rash
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q847726,lymphadenopathy,lymphadenopathy
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q997862,papule,papule
http://www.wikidata.org/entity/Q1048101,rickettsialpox,http://www.wikidata.org/entity/Q38933,fever,fever
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q1419356,hyporeflexia,hyporeflexia
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q1557686,muscle atrophy,muscle_atrophy
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q1624054,pes cavus,pes_cavus
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q174857,scoliosis,scoliosis
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q2289481,sensory loss,sensory_loss
http://www.wikidata.org/entity/Q1052687,Charcotâ€“Marieâ€“Tooth disease,http://www.wikidata.org/entity/Q270421,muscle weakness,muscle_weakness
http://www.wikidata.org/entity/Q106590153,New Brunswick suspected neurological disease,http://www.wikidata.org/entity/Q108598184,visual hallucination,visual_hallucination
http://www.wikidata.org/entity/Q106590153,New Brunswick suspected neurological disease,http://www.wikidata.org/entity/Q1531343,limb pain,limb_pain
http://www.wikidata.org/entity/Q106590153,New Brunswick suspected neurological disease,http://www.wikidata.org/entity/Q21120069,behavioral changes,behavioral_changes
